,maxAge,symbol,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,storeDate
0,1,0700.HK,,,,,1550822400.0
0,1,1810.HK,0.56922,0.11246,0.26107,52.0,1550822400.0
0,1,3690.HK,0.22163,0.19837,0.25485,55.0,1550822400.0
0,1,A,0.0036300002,0.89366996,0.89692,953.0,1550822400.0
0,1,AAPL,0.00072999997,0.61161,0.61205,3833.0,1550822400.0
0,1,ABBV,0.00071999995,0.70975995,0.71027,2500.0,1550822400.0
0,1,ABC,0.2713,0.68052,0.93388003,942.0,1550822400.0
0,1,ABT,0.00711,0.76485,0.77032995,2346.0,1550822400.0
0,1,ADBE,0.00308,0.89158,0.89432997,1924.0,1550822400.0
0,1,ADI,0.0032499998,0.92595,0.92897004,1139.0,1550822400.0
0,1,ADSK,0.0017200001,0.99124,0.99294996,925.0,1550822400.0
0,1,AEIS,0.00939,1.02254,1.03224,347.0,1550822400.0
0,1,AEO,0.05661,0.92884004,0.98458,454.0,1550822400.0
0,1,AGN,0.00263,0.89665,0.89901,1456.0,1550822400.0
0,1,AKAM,0.0306,0.88727,0.91527003,800.0,1550822400.0
0,1,ALGN,0.09166,0.84901,0.93469,906.0,1550822400.0
0,1,ALLO,0.31589,0.45963,0.67187,109.0,1550822400.0
0,1,ALRM,0.08643,0.97484,1.06706,310.0,1550822400.0
0,1,ALXN,0.0018099999,0.97139,0.97315,878.0,1550822400.0
0,1,AMAT,0.0030399999,0.81811994,0.82061,1364.0,1550822400.0
0,1,AMD,0.0073900004,0.70655,0.71181,827.0,1550822400.0
0,1,AMGN,0.00209,0.81218004,0.81388,2372.0,1550822400.0
0,1,AMZN,0.16118999,0.57138,0.68117994,3336.0,1550822400.0
0,1,ANET,0.29162002,0.57763,0.81542,716.0,1550822400.0
0,1,ANSS,0.01081,0.98968005,1.0005001,793.0,1550822400.0
0,1,ANTM,0.00159,0.90224,0.90367997,1362.0,1550822400.0
0,1,APH,0.00421,0.99073,0.99491996,932.0,1550822400.0
0,1,APTV,0.0034,0.9865,0.98986,899.0,1550822400.0
0,1,ATVI,0.01153,0.91269,0.92333,1209.0,1550822400.0
0,1,AVGO,0.0023,0.85814005,0.86012,1536.0,1550822400.0
0,1,AVX,0.7225,0.26619,0.95926005,228.0,1550822400.0
0,1,AYX,0.0128,0.99202,1.00488,244.0,1550822400.0
0,1,BABA,0.52313,0.41924,0.87916,2081.0,1550822400.0
0,1,BAX,0.00089,0.84837997,0.84913003,1375.0,1550822400.0
0,1,BBY,0.14675,0.86137,1.0095301,910.0,1550822400.0
0,1,BC,0.01107,0.96719,0.97802,461.0,1550822400.0
0,1,BDX,0.00261,0.8754,0.87768996,1711.0,1550822400.0
0,1,BGNE,0.00029,0.88161004,0.88185996,298.0,1550822400.0
0,1,BIDU,0.00102,0.83065003,0.8315,1248.0,1550822400.0
0,1,BIIB,0.00453,0.93607,0.94032997,1581.0,1550822400.0
0,1,BKNG,0.0028799998,0.92063004,0.92329,1663.0,1550822400.0
0,1,BL,0.16896999,0.88742995,1.06786,230.0,1550822400.0
0,1,BLUE,0.00485,1.13409,1.13962,360.0,1550822400.0
0,1,BMY,0.00155,0.75674003,0.75792,2191.0,1550822400.0
0,1,BOX,0.040700004,0.68736,0.71653,341.0,1550822400.0
0,1,BRKR,0.34397998,0.69248,1.05558,321.0,1550822400.0
0,1,BRKS,0.020450002,1.04882,1.07072,321.0,1550822400.0
0,1,BSX,0.00236,0.94061995,0.94285005,1010.0,1550822400.0
0,1,BWA,0.00562,0.95303,0.95843005,749.0,1550822400.0
0,1,CAH,0.0032,0.90532,0.90823,984.0,1550822400.0
0,1,CBM,0.013660001,1.1547,1.1706901,320.0,1550822400.0
0,1,CCL,0.17333001,0.79767,0.96492,1099.0,1550822400.0
0,1,CCMP,0.01348,0.97255,0.98584,380.0,1550822400.0
0,1,CDNS,0.01274,0.90747,0.91918,713.0,1550822400.0
0,1,CELG,0.0016300001,0.77466005,0.77593005,1797.0,1550822400.0
0,1,CERN,0.04419,0.84616995,0.88528997,947.0,1550822400.0
0,1,CERS,0.01964,0.68421996,0.69793,207.0,1550822400.0
0,1,CGNX,0.0551,0.97050005,1.0271,572.0,1550822400.0
0,1,CHKP,0.21784,0.7704,0.98496,909.0,1550822400.0
0,1,CI,0.0164,0.8922,0.90707,1519.0,1550822400.0
0,1,CLLS,0.0,0.2941,0.2941,93.0,1550822400.0
0,1,CLVS,0.029930001,1.08147,1.11484,250.0,1550822400.0
0,1,CNC,0.022720002,0.92142,0.94282997,1012.0,1550822400.0
0,1,COO,0.00715,1.03864,1.04612,685.0,1550822400.0
0,1,COUP,0.00575,1.03667,1.04266,305.0,1550822400.0
0,1,CREE,0.00775,1.0928501,1.10138,382.0,1550822400.0
0,1,CRM,0.04657,0.85664004,0.89848,1705.0,1550822400.0
0,1,CRSP,0.4186,0.46839002,0.80561996,203.0,1550822400.0
0,1,CRUS,0.01005,0.92032,0.92966,379.0,1550822400.0
0,1,CSCO,0.00065,0.75876,0.75925004,2968.0,1550822400.0
0,1,CSOD,0.06649,0.92302,0.98875,300.0,1550822400.0
0,1,CTRP,0.053239997,0.69196,0.73087,601.0,1550822400.0
0,1,CTXS,0.00858,1.02211,1.03096,910.0,1550822400.0
0,1,CVLT,0.07353,0.92591006,0.99939,302.0,1550822400.0
0,1,CVS,0.00238,0.83563006,0.83762,2265.0,1550822400.0
0,1,CYBR,0.017970001,0.8563,0.87196,330.0,1550822400.0
0,1,DATA,0.00657,1.0384201,1.04528,420.0,1550822400.0
0,1,DBX,0.11137,0.74943,0.84336,305.0,1550822400.0
0,1,DDD,0.03765,0.71366996,0.74158996,327.0,1550822400.0
0,1,DECK,0.00736,1.07374,1.08169,451.0,1550822400.0
0,1,DGX,0.00322,0.90736,0.91029,885.0,1550822400.0
0,1,DHR,0.116359994,0.81886,0.92669,1682.0,1550822400.0
0,1,DLB,0.04472,0.93023,0.97378,411.0,1550822400.0
0,1,DLPH,0.00204,0.91983,0.92170995,340.0,1550822400.0
0,1,DMLRY,0.0,0.00099,0.00099,16.0,1550822400.0
0,1,DORM,0.18305,0.81956,1.00318,326.0,1550822400.0
0,1,DOX,0.0,1.01111,1.01111,549.0,1550822400.0
0,1,DSW,0.06925,0.95449996,1.02552,365.0,1550822400.0
0,1,DVA,0.02132,0.8973,0.91683996,651.0,1550822400.0
0,1,DXCM,0.0133299995,1.0305899,1.04451,552.0,1550822400.0
0,1,EA,0.0051599997,0.97783995,0.98292,1114.0,1550822400.0
0,1,EBAY,0.052360002,0.89048,0.93969,1174.0,1550822400.0
0,1,EBS,0.14833,0.8552,1.00415,397.0,1550822400.0
0,1,EDIT,0.04073,0.7868,0.82021004,258.0,1550822400.0
0,1,EDU,0.13033,0.82335,0.94674003,520.0,1550822400.0
0,1,ELLI,0.01495,1.296,1.31567,265.0,1550822400.0
0,1,ETSY,0.01495,0.97692,0.99175,433.0,1550822400.0
0,1,EW,0.039389998,0.0,0.0,0.0,1550822400.0
0,1,EXEL,0.01608,0.78306,0.79585,453.0,1550822400.0
0,1,EXPE,0.12971,0.89413,1.02739,859.0,1550822400.0
0,1,F,0.23798999,0.07606,0.09981,1.0,1550822400.0
0,1,FB,0.01274,0.74626,0.75588995,2944.0,1550822400.0
0,1,FFIV,0.00477,1.06461,1.06971,828.0,1550822400.0
0,1,FIVE,0.022,0.97468,0.99660003,502.0,1550822400.0
0,1,FIVN,0.03588,1.04627,1.0852101,300.0,1550822400.0
0,1,FL,0.22754,0.08708,0.11273,1.0,1550822400.0
0,1,FLIR,0.009,0.96276003,0.97150004,681.0,1550822400.0
0,1,FTNT,0.17197001,0.76774,0.92719,745.0,1550822400.0
0,1,GILD,0.0067299996,0.81763,0.82317,2058.0,1550822400.0
0,1,GLW,0.0028,0.73966,0.74173,1285.0,1550822400.0
0,1,GM,0.07266,0.79058,0.85252,1381.0,1550822400.0
0,1,GMED,0.03566,0.9286,0.96294,428.0,1550822400.0
0,1,GNTX,0.0037099998,0.8595,0.8627,583.0,1550822400.0
0,1,GOOG,8.0000005e-05,0.69974,0.69978994,2921.0,1550822400.0
0,1,GOOGL,0.00161,1.02042,1.02206,3244.0,1550822400.0
0,1,GPC,0.02844,0.77554,0.79823995,967.0,1550822400.0
0,1,GPS,0.3749,0.61231,0.97954005,720.0,1550822400.0
0,1,GRMN,0.32298002,0.48211,0.71209997,731.0,1550822400.0
0,1,GRUB,0.00308,1.08319,1.08654,473.0,1550822400.0
0,1,GSKY,0.03351,1.0752101,1.11249,116.0,1550822400.0
0,1,GWRE,0.0011100001,1.10548,1.10671,400.0,1550822400.0
0,1,HALO,0.085159995,1.0000001e-05,1.0000001e-05,1.0,1550822400.0
0,1,HCA,0.21139,0.7257,0.92023003,1015.0,1550822400.0
0,1,HD,0.0010800001,0.70614,0.70691,2745.0,1550822400.0
0,1,HOLX,0.0027,0.90876,0.91122,653.0,1550822400.0
0,1,HPE,0.00207,0.83615,0.83788,1070.0,1550822400.0
0,1,HPQ,0.00195,0.83782995,0.83946997,1346.0,1550822400.0
0,1,HQY,0.03134,0.9832,1.01502,406.0,1550822400.0
0,1,HRS,0.00379,0.93498003,0.93854,909.0,1550822400.0
0,1,HSIC,0.010570001,1.03663,1.0476999,811.0,1550822400.0
0,1,HUBS,0.05922,0.95825994,1.01859,341.0,1550822400.0
0,1,HUM,0.00234,0.97257006,0.97485,1057.0,1550822400.0
0,1,HUYA,0.0,0.62176,0.62176,103.0,1550822400.0
0,1,ICE,0.93094003,0.0,0.0,0.0,1550822400.0
0,1,ICUI,0.07311,0.94924,1.0241101,381.0,1550822400.0
0,1,IDXX,0.01606,0.91583,0.93077004,919.0,1550822400.0
0,1,IFNNY,0.0,0.0038100001,0.0038100001,32.0,1550822400.0
0,1,ILMN,0.00408,0.91986,0.92363,1142.0,1550822400.0
0,1,INCY,0.00529,0.93857,0.94356,675.0,1550822400.0
0,1,INTC,0.00051,0.68776,0.68811,2954.0,1550822400.0
0,1,INTU,0.040599998,0.90427,0.94253,1279.0,1550822400.0
0,1,IONS,0.09191,0.8923,0.98261,426.0,1550822400.0
0,1,IOVA,0.0113699995,1.02821,1.04003,191.0,1550822400.0
0,1,IPGP,0.33462003,0.686,1.03099,640.0,1550822400.0
0,1,IQ,0.51327,0.0,0.0,0.0,1550822400.0
0,1,IQV,0.056160003,0.9185,0.97316,818.0,1550822400.0
0,1,IRBT,0.01877,1.08934,1.11018,346.0,1550822400.0
0,1,ISRG,0.0095999995,0.90479,0.91356003,1270.0,1550822400.0
0,1,JD,0.14115,0.49959,0.58169997,731.0,1550822400.0
0,1,JNJ,0.0007,0.68694,0.68741,3421.0,1550822400.0
0,1,JNPR,0.0136899995,0.97230005,0.9858,703.0,1550822400.0
0,1,KLAC,0.00214,0.95844,0.9605,932.0,1550822400.0
0,1,LGND,0.03225,1.25559,1.2974299,465.0,1550822400.0
0,1,LH,0.0052,0.92823,0.93307996,1012.0,1550822400.0
0,1,LKQ,0.00977,0.95244,0.96184,736.0,1550822400.0
0,1,LLY,0.00182,0.79994005,0.8014,1965.0,1550822400.0
0,1,LOGM,0.01826,1.02679,1.04589,514.0,1550822400.0
0,1,LOW,0.00162,0.76989,0.77114,1826.0,1550822400.0
0,1,LULU,0.02829,0.89043,0.91635,771.0,1550822400.0
0,1,MA,0.11161,0.78113,0.87926,2332.0,1550822400.0
0,1,MANH,0.0146,1.10581,1.12219,377.0,1550822400.0
0,1,MASI,0.08906,0.84893,0.93193,474.0,1550822400.0
0,1,MCHP,0.02207,1.18582,1.2125801,1015.0,1550822400.0
0,1,MCK,0.0029199999,0.88623,0.88882005,1142.0,1550822400.0
0,1,MDSO,0.040110003,1.11269,1.15918,375.0,1550822400.0
0,1,MDT,0.00059,0.84283996,0.84334,2061.0,1550822400.0
0,1,MELI,0.091630004,0.97231,1.07039,607.0,1550822400.0
0,1,MIME,0.14451,0.77118,0.90145,207.0,1550822400.0
0,1,MKSI,0.015829999,0.95332,0.96865,450.0,1550822400.0
0,1,MLNX,0.08271,0.83329004,0.90843004,362.0,1550822400.0
0,1,MOH,0.0233,1.0746601,1.10029,466.0,1550822400.0
0,1,MOMO,0.03006,0.68017995,0.70126,438.0,1550822400.0
0,1,MPWR,0.03926,1.03669,1.07905,446.0,1550822400.0
0,1,MRK,0.00064000004,0.77817,0.77866995,2799.0,1550822400.0
0,1,MRVL,0.04247,0.99157995,1.03556,560.0,1550822400.0
0,1,MSFT,0.014099999,0.74814004,0.75884,3945.0,1550822400.0
0,1,MSG,0.03828,0.98188,1.02096,396.0,1550822400.0
0,1,MSI,0.00397,0.90135,0.90495,926.0,1550822400.0
0,1,MTD,0.02305,0.99951,1.02309,766.0,1550822400.0
0,1,MTLS,0.00239,0.21263,0.21314,54.0,1550822400.0
0,1,MU,0.043169998,0.80531996,0.84166,1332.0,1550822400.0
0,1,MXIM,0.0074299998,1.01677,1.02439,740.0,1550822400.0
0,1,MYGN,0.010980001,1.04891,1.06056,354.0,1550822400.0
0,1,MYL,0.00684,0.87464,0.88066,782.0,1550822400.0
0,1,NATI,0.13368,0.79515,0.91783994,436.0,1550822400.0
0,1,NCLH,0.023659999,0.98683,1.0107399,631.0,1550822400.0
0,1,NEOG,0.02431,0.89963996,0.92206,347.0,1550822400.0
0,1,NEWR,0.18404,0.82144,1.0067099,387.0,1550822400.0
0,1,NFLX,0.01736,0.77207,0.78571,1724.0,1550822400.0
0,1,NICE,0.0,0.48101002,0.48101002,289.0,1550822400.0
0,1,NKE,0.01138,0.84098,0.85066,2080.0,1550822400.0
0,1,NKTR,0.00895,0.97315,0.98193,515.0,1550822400.0
0,1,NOW,0.01129,0.99568003,1.00705,886.0,1550822400.0
0,1,NSTG,0.00721,0.92436,0.93107,137.0,1550822400.0
0,1,NTAP,0.00178,0.98495,0.98670995,859.0,1550822400.0
0,1,NTGR,0.019170001,1.05091,1.07145,267.0,1550822400.0
0,1,NTLA,0.25014,0.74719,0.99644,201.0,1550822400.0
0,1,NVDA,0.04284,0.71557,0.7476,1782.0,1550822400.0
0,1,NVTA,0.05924,0.74844,0.79557,189.0,1550822400.0
0,1,NXPI,0.002,0.78419,0.78576,952.0,1550822400.0
0,1,OLED,0.10311,0.93571997,1.0433,439.0,1550822400.0
0,1,ONCE,0.12281,1.06137,1.20997,247.0,1550822400.0
0,1,OPRA,0.0,0.04654,0.04654,28.0,1550822400.0
0,1,ORBK,0.080419995,0.77627,0.84416,260.0,1550822400.0
0,1,ORCL,0.31799,0.56081,0.82228994,2239.0,1550822400.0
0,1,PACB,0.04171,0.73595,0.76799005,202.0,1550822400.0
0,1,PANW,0.02874,0.83082,0.85541,970.0,1550822400.0
0,1,PAYC,0.17937,0.79568,0.96959,428.0,1550822400.0
0,1,PCTY,0.33216998,0.66218,0.99154997,271.0,1550822400.0
0,1,PEGA,0.52157,0.47527,0.99338996,214.0,1550822400.0
0,1,PFE,0.00061,0.73283,0.73328,2975.0,1550822400.0
0,1,PKI,0.008719999,0.97316,0.98172,518.0,1550822400.0
0,1,PLCE,0.025239998,1.1833,1.21394,334.0,1550822400.0
0,1,PLT,0.00904,0.9876,0.99661005,271.0,1550822400.0
0,1,POWI,0.03329,1.03162,1.06714,275.0,1550822400.0
0,1,PRGO,0.00119,0.88018996,0.88124,549.0,1550822400.0
0,1,PSTG,0.08375,0.84735,0.92480004,330.0,1550822400.0
0,1,PTC,0.09834,0.95009005,1.05371,547.0,1550822400.0
0,1,PYPL,0.050819997,0.83835,0.88324,1990.0,1550822400.0
0,1,QCOM,0.00088,0.85823,0.85899,1851.0,1550822400.0
0,1,QLYS,0.14694001,0.87825996,1.0295401,364.0,1550822400.0
0,1,QRVO,0.0043200003,0.96358,0.96775,598.0,1550822400.0
0,1,RCL,0.18621999,0.72774005,0.89427,917.0,1550822400.0
0,1,RDWR,0.13737,0.72195,0.83691,161.0,1550822400.0
0,1,RGEN,0.10233,0.92356,1.0288401,318.0,1550822400.0
0,1,RHT,0.0067000003,0.92143995,0.92766,963.0,1550822400.0
0,1,RMD,0.012180001,0.70594,0.71465,721.0,1550822400.0
0,1,RNG,0.14850001,0.0,0.0,0.0,1550822400.0
0,1,ROG,0.012180001,1.02584,1.0384899,273.0,1550822400.0
0,1,ROST,0.020739999,0.9548,0.97502,1118.0,1550822400.0
0,1,RUBY,0.087460004,0.87361,0.95733,86.0,1550822400.0
0,1,SHOO,0.087790005,0.97814006,1.0722799,324.0,1550822400.0
0,1,SHOP,0.00338,0.75791,0.76048,619.0,1550822400.0
0,1,SKX,0.02787,0.91952,0.94588,402.0,1550822400.0
0,1,SLAB,0.01835,0.9721,0.99027,347.0,1550822400.0
0,1,SMTC,0.018099999,1.07314,1.09292,328.0,1550822400.0
0,1,SNPS,0.00799,0.94236,0.94996,756.0,1550822400.0
0,1,SOGO,0.20849001,0.26354998,0.33297002,79.0,1550822400.0
0,1,SPLK,0.00401,0.96695,0.97085,715.0,1550822400.0
0,1,SPOT,0.39585,0.50735,0.83978,417.0,1550822400.0
0,1,SQ,0.00769,0.7531,0.75894,828.0,1550822400.0
0,1,SSYS,0.114420004,0.70527,0.79639,220.0,1550822400.0
0,1,STMP,0.70368,0.0,0.0,0.0,1550822400.0
0,1,STX,0.56339,0.0,0.0,0.0,1550822400.0
0,1,SUPN,0.03337,0.98874,1.0228701,357.0,1550822400.0
0,1,SWKS,0.00425,0.84273005,0.84633005,956.0,1550822400.0
0,1,SYK,0.07926,0.76171994,0.82728,1593.0,1550822400.0
0,1,TAL,0.63130003,0.10569,0.28665,5.0,1550822400.0
0,1,TCEHY,0.0,0.0076,0.0076,219.0,1550822400.0
0,1,TDC,0.0001,0.26704,0.26705998,200.0,1550822400.0
0,1,TDOC,0.011390001,1.30232,1.31733,437.0,1550822400.0
0,1,TEL,0.68525004,0.0,0.0,0.0,1550822400.0
0,1,TER,0.00566,1.01161,1.01736,531.0,1550822400.0
0,1,TEVA,0.03637,0.64448,0.66880995,783.0,1550822400.0
0,1,TJX,0.00072999997,0.9197,0.92037004,1711.0,1550822400.0
