symbol,industry,sector,averageDailyVolume10Day,averageDailyVolume3Month,fiftyDayAverageChangePercent,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,longName,regularMarketChangePercent,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,regularMarketTime,regularMarketVolume,twoHundredDayAverageChangePercent,ytdReturn,expireDate,expireIsoDate,openInterest,marketCap,quoteType,beta,enterpriseValue,pegRatio,enterpriseToEbitda,52WeekChange,SandP52WeekChange,shortPercentOfFloat,netIncomeToCommon,52wkAbsRange
A,Diagnostics & Research,Healthcare,1841.5,2499.5,0.07755162,-0.01773374,0.24677266,60.42 - 76.69,"Agilent Technologies, Inc.",-1.2712991000000002,76.12,74.87,75.72,76.3,75.33,1549573197.0,1362792.0,0.10757345,,,,,24.0,EQUITY,1.268392,23863257088.0,2.26,20.155,0.17294383,0.058353424,0.0139,316000000.0,0.26450640000000003
AAPL,Consumer Electronics,Technology,37264.3,41437.5,0.09221783,-0.26761466,0.20415497,142.0 - 233.47,Apple Inc.,-1.8652433000000002,173.93,170.34,172.4,174.24,170.99,1549573200.0,29299958.0,-0.11940224,,,,,806.3,EQUITY,1.114892,849610473472.0,1.02,10.684000000000001,0.123042345,0.058353424,0.0099,59430998016.0,0.47176963
ABBV,Drug Manufacturers - Major,Healthcare,9912.4,7376.9,-0.07268373,-0.35090163,0.045136675,75.77 - 122.0,AbbVie Inc.,0.13910042,79.22,77.81,78.35,79.08,79.19,1549573199.0,4903814.0,-0.11869048,,,,,119.1,EQUITY,1.437346,152300994560.0,0.69,10.883,-0.27101773,0.058353424,0.0202,5687000064.0,0.39603830500000003
ABC,Medical Distribution,Healthcare,2142.2,1492.0,0.10814005,-0.15872552,0.23716836,69.36 - 102.0,AmerisourceBergen Corporation,-0.9579892,87.52,85.48,86.8,86.64,85.81,1549573196.0,1319310.0,0.010460474,,,,,18.1,EQUITY,1.456042,20354162688.0,1.25,9.427,-0.05363196,0.058353424,0.028199999,1190204032.0,0.39589388000000003
ABT,Medical Devices,Healthcare,6242.5,6957.8,0.038494423,-0.028964205,0.30892402,55.58 - 74.92,Abbott Laboratories,-1.0069368,73.02,71.5,72.99,73.49,72.75,1549573199.0,5951947.0,0.05448844,,,,,127.8,EQUITY,1.21609,144878501888.0,2.0,18.742,0.30602443,0.058353424,0.010199999,2334000128.0,0.33788822500000004
ADBE,Software - Application,Technology,2974.0,3952.3,0.07862504,-0.085983865,0.41485453,179.34 - 277.61,Adobe Inc.,-0.23982725,254.3,250.28,251.33,254.35,253.74,1549573201.0,1976889.0,0.02415485,,,,,123.8,EQUITY,1.112125,124958670848.0,1.39,39.211,0.37367678,0.058353424,0.0112,2590774016.0,0.500838395
ADI,Semiconductors,Technology,2630.2,2981.2,0.12113849,-0.028574178,0.31336457,76.62 - 103.59,"Analog Devices, Inc.",-1.7381176999999999,102.1,99.54,101.32,102.41,100.63,1549573200.0,2842718.0,0.10884924,,,,,37.2,EQUITY,1.1927889999999999,42680102912.0,1.93,15.565,0.23863089,0.058353424,,1489522944.0,0.341938748
ADSK,Software - Application,Technology,1386.6,2042.5,0.110252455,-0.05864702,0.48261935,101.55 - 159.94,"Autodesk, Inc.",-1.1294991,151.93,149.135,151.0,152.28,150.56,1549573199.0,1444167.0,0.0854794,,,,,33.0,EQUITY,1.6645450000000002,33890926592.0,1.68,-1086.248,0.45291483,0.058353424,0.027000000000000003,-319000000.0,0.54126637
AEIS,Electronic Components,Technology,357.5,317.2,0.09396248,-0.31182057,0.29091367,38.74 - 72.67,"Advanced Energy Industries, Inc.",-1.8449508000000001,50.54,49.15,50.5,50.95,50.01,1549573201.0,270256.0,0.008728816,,,,,1.9,EQUITY,1.505651,1604507648.0,1.1,8.388,-0.18349361,0.058353424,0.0551,147063008.0,0.60273424
AEO,Apparel Stores,Consumer Cyclical,2654.9,4645.7,0.08211575,-0.28045514,0.27143702,16.91 - 29.88,"American Eagle Outfitters, Inc.",-0.64694726,21.59,21.25,21.52,21.64,21.5,1549573199.0,1589953.0,-0.043504935,,,,,3.8,EQUITY,0.8500840000000001,3458264576.0,0.99,6.515,0.23940444,0.058353424,0.1297,279691008.0,0.55189216
AGN,Drug Manufacturers - Specialty & Generic,Healthcare,4764.0,2926.3,-0.083825655,-0.3282741,0.05157347,125.84 - 197.0,Allergan plc,-3.394652,137.15,132.02,137.15,136.98,132.33,1549573194.0,2683268.0,-0.21704403,,,,,44.6,EQUITY,1.363983,68137549824.0,1.71,9.593,-0.16577345,0.058353424,0.0123000005,-5142799872.0,0.37984757
AKAM,Software - Application,Technology,1250.8,1570.2,0.05438741,-0.19848345,0.16456796,57.18 - 83.08,"Akamai Technologies, Inc.",-1.3627696000000002,67.15,65.89,67.11,67.51,66.59,1549573201.0,1028566.0,-0.034343433,,,,,10.8,EQUITY,0.231329,10846180352.0,1.12,15.534,0.080332875,0.058353424,0.0493,227432992.0,0.36305141
ALGN,Medical Devices,Healthcare,1948.1,1435.6,0.1286487,-0.39969414,0.345754,177.93 - 398.88,"Align Technology, Inc.",-1.8808378000000001,244.55,238.26,241.89,244.04,239.45,1549573201.0,806094.0,-0.16915983,,,,,19.2,EQUITY,2.477177,18718898176.0,1.91,36.173,0.10570431,0.058353424,0.0395,400235008.0,0.7454481399999999
ALLO,Biotechnology,Healthcare,305.6,492.3,0.079764135,-0.15246132,0.39040142,21.67 - 35.55,"Allogene Therapeutics, Inc.",-2.3022082000000004,31.705,29.78,30.62,30.84,30.13,1549573190.0,466004.0,0.10538885,,,,,3.7,EQUITY,,4078632448.0,,,Infinity,0.058353424,0.1558,-24000.0,0.54286274
ALRM,Software - Application,Technology,599.8,537.7,0.12711369,-0.037127525,0.8873915000000001,33.39 - 65.45,"Alarm.com Holdings, Inc.",-2.1428587,64.5999,62.52,63.89,64.4,63.02,1549573201.0,368497.0,0.22187097,,,,,3.0,EQUITY,1.122841,2919951360.0,2.47,38.485,0.83947456,0.058353424,0.1429,13915000.0,0.9245190250000002
ALXN,Biotechnology,Healthcare,2117.6,1744.6,0.07508454,-0.15614124,0.28338379999999996,92.56 - 140.77,"Alexion Pharmaceuticals, Inc.",-1.8507789000000001,120.13,117.31,119.57,121.03,118.79,1549573201.0,1226362.0,-0.0056224646999999996,,,,,26.5,EQUITY,1.453785,29067284480.0,0.85,14.234000000000002,0.11579239,0.058353424,0.0172,77600000.0,0.4395250399999999
AMAT,Semiconductor Equipment & Materials,Technology,12899.6,12762.5,0.14626797,-0.36025646,0.38659245,28.79 - 62.4,"Applied Materials, Inc.",-0.8937453000000002,40.32,39.56,39.73,40.28,39.92,1549573201.0,12418899.0,0.051938467,,,,,38.1,EQUITY,1.390088,38779670528.0,1.03,7.382000000000001,-0.119562864,0.058353424,0.0174,3312999936.0,0.74684891
AMD,Semiconductors,Technology,129661.5,101567.2,0.12736782,-0.33596954,1.5077433999999998,9.04 - 34.14,"Advanced Micro Devices, Inc.",-2.5365439999999997,23.22,22.32,22.99,23.26,22.67,1549573200.0,83851342.0,0.008497503,,,,,22.7,EQUITY,4.438354,23450619904.0,80.95,35.246,1.0730836,0.058353424,0.1769,337000000.0,1.8437129399999999
AMGN,Biotechnology,Healthcare,4191.4,3150.8,-0.047644526,-0.123507336,0.12809992,163.31 - 210.19,Amgen Inc.,-3.423149,190.53,182.67,190.67,190.76,184.23,1549573201.0,3707713.0,-0.062353212000000005,,,,,116.1,EQUITY,1.2326840000000001,123260297216.0,3.34,9.851,0.10189462,0.058353424,0.0152,8393999872.0,0.251607256
AMZN,Specialty Retail,Consumer Cyclical,6373.5,6902.5,0.0130268,-0.21269447,0.27524424,1265.93 - 2050.5,"Amazon.com, Inc.",-1.5784091999999998,1625.01,1592.91,1625.0,1640.26,1614.37,1549573201.0,4243859.0,-0.07638003,,,,,793.0,EQUITY,1.827464,813739474944.0,1.92,29.311,0.21455753,0.058353424,0.016900001,10072999936.0,0.48793871
