,,,"EQY_FUND_CRNCY=USD,SCALING_FORMAT=BLN",,"SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD","SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD",,,,,,,BEST_FPERIOD_OVERRIDE=1GY,,,
,,,Trailing 12M Free Cash Flow,,Currency Adj Market Cap,Net Debt,Volatility 30 Day,,,GICS Sector Name,GICS Industry Name,GICS Industry Group Name,Total Analyst Recommendations,,,
Symbol,BEST_CRNCY_ISO,NAME,TRAIL_12M_FREE_CASH_FLOW,NET_DEBT_TO_EBITDA,CRNCY_ADJ_MKT_CAP,NET_DEBT,VOLATILITY_30D,PEG1,PEG2,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME,TOT_ANALYST_REC,ASSET_TURNOVER,RETURN_COM_EQY,Filtered?
PENN US Equity,USD,PENN NATIONAL GAMING INC,0.3,5.5,  3 ,  5 ,61.5,  0.18 ,  0.33 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,12.0,60%,  (123),  116 
MAT US Equity,USD,MATTEL INC,-1.2,#N/A N/A,  5 ,  2 ,37.6,  (1.42),  0.03 ,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,17.0,79%,  (79),  134 
PAM US Equity,ARS,PAMPA ENERGIA SA-SPON ADR,-0.1,#N/A N/A,  3 ,  1 ,56.2,  0.00 ,  0.00 ,Utilities,Electric Utilities,Utilities,12.0,68%,  (70),  299 
GE US Equity,USD,GENERAL ELECTRIC CO,-0.8,#N/A N/A,  71 ,  63 ,54.1,  0.48 ,  0.62 ,Industrials,Industrial Conglomerates,Capital Goods,24.0,35%,  (62),  746 
NWL US Equity,USD,NEWELL BRANDS INC,0.8,#N/A N/A,  10 ,  10 ,62.0,  (1.12),  0.88 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,13.0,40%,  (58),  119 
GWPH US Equity,GBP,GW PHARMACEUTICALS -ADR,-0.2,#N/A N/A,  4 ,  (0),49.1,#VALUE!,  (0.49),Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",11.0,3%,  (51),  804 
ADNT US Equity,USD,ADIENT PLC,0.1,#N/A N/A,  2 ,  3 ,111.0,  0.09 ,  0.02 ,Consumer Discretionary,Auto Components,Automobiles & Components,14.0,145%,  (51),  122 
TEVA US Equity,USD,TEVA PHARMACEUTICAL-SP ADR,-0.8,#N/A N/A,  24 ,  32 ,57.8,  (3.56),  1.62 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",25.0,26%,  (48),  878 
BCO US Equity,USD,BRINK'S CO/THE,0.1,2.7,  3 ,  1 ,33.5,  0.51 ,  0.48 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,6.0,118%,  (35),  629 
BILI US Equity,CNY,BILIBILI INC-SPONSORED ADR,0.0,-15.6,  4 ,  (0),72.9,  (2.55),  0.06 ,Communication Services,Entertainment,Media & Entertainment,7.0,88%,  (35),  22 
BRFS US Equity,BRL,BRF SA-ADR,0.1,12.0,  4 ,  4 ,45.9,  (1.05),  0.06 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",8.0,73%,  (32),  221 
QCOM US Equity,USD,QUALCOMM INC,3.1,1.8,  67 ,  4 ,40.2,  0.68 ,  0.38 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,30.0,46%,  (31),  583 
HES US Equity,USD,HESS CORP,-0.6,369.0,  17 ,  2 ,40.9,  (0.01),  0.36 ,Energy,"Oil, Gas & Consumable Fuels",Energy,24.0,26%,  (28),"  1,077 "
XRAY US Equity,USD,DENTSPLY SIRONA INC,0.4,#N/A N/A,  8 ,  1 ,26.3,  1.35 ,  1.11 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,15.0,40%,  (26),  821 
FE US Equity,USD,FIRSTENERGY CORP,-1.1,11.7,  20 ,  22 ,19.4,  8.47 ,  (129.55),Utilities,Electric Utilities,Utilities,19.0,29%,  (25),  317 
NCR US Equity,USD,NCR CORPORATION,0.5,4.3,  3 ,  2 ,58.6,  0.73 ,  0.55 ,Information Technology,"Technology Hardware, Storage &",Technology Hardware & Equipmen,7.0,83%,  (22),  489 
PLT US Equity,USD,PLANTRONICS INC,0.1,13.8,  2 ,  (0),48.7,  0.18 ,#VALUE!,Information Technology,Communications Equipment,Technology Hardware & Equipmen,3.0,52%,  (19),  463 
BGNE US Equity,USD,BEIGENE LTD-ADR,0.0,#N/A N/A,  8 ,  (1),75.0,#VALUE!,#VALUE!,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",10.0,35%,  (19),  792 
ERIC US Equity,SEK,ERICSSON (LM) TEL-SP ADR,1.4,#N/A N/A,  28 ,  (4),36.1,  0.20 ,  0.43 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,11.0,77%,  (18),  510 
WHR US Equity,USD,WHIRLPOOL CORP,0.0,6.9,  7 ,  4 ,47.1,  0.85 ,  0.45 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,10.0,106%,  (17),  102 
ITRI US Equity,USD,ITRON INC,0.1,11.7,  2 ,  0 ,47.1,  0.27 ,  0.42 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,9.0,106%,  (17),  499 
